                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  1.026,                0.66525,                 1.2843,                0.95395,                0.91261,                0.95422,                0.62891,                 1.2102,                0.53983,                 1.4996,               0.002278,               0.002278,               0.002278
                     81,                   1.02,                0.65773,                 1.2786,                0.95019,                0.90781,                 0.9527,                 0.6312,                 1.2107,                0.54315,                 1.4968,               0.002179,               0.002179,               0.002179
                     82,                 1.0141,                0.64104,                 1.2674,                0.94948,                0.91022,                0.95174,                0.63129,                 1.2062,                0.54341,                 1.4948,                0.00208,                0.00208,                0.00208
                     83,                 1.0062,                0.64482,                 1.2692,                0.94925,                0.90923,                0.95052,                0.63086,                 1.2058,                0.54325,                 1.4952,               0.001981,               0.001981,               0.001981
                     84,                 1.0136,                0.64294,                 1.2745,                0.95219,                0.90856,                0.95085,                0.63154,                 1.2104,                0.54159,                 1.4986,               0.001882,               0.001882,               0.001882
                     85,                0.99967,                0.64447,                 1.2638,                0.95054,                0.90681,                0.94992,                0.63216,                 1.2127,                 0.5449,                 1.5032,               0.001783,               0.001783,               0.001783
                     86,                0.99977,                 0.6438,                 1.2671,                0.95197,                0.90972,                0.94934,                0.62919,                 1.2102,                0.54183,                 1.5016,               0.001684,               0.001684,               0.001684
                     87,                 0.9931,                 0.6302,                 1.2611,                0.95927,                 0.9052,                 0.9506,                0.63044,                 1.2116,                0.53819,                 1.5049,               0.001585,               0.001585,               0.001585
                     88,                0.99384,                0.62864,                 1.2652,                0.95838,                0.90946,                0.95146,                 0.6295,                 1.2095,                0.53867,                 1.5032,               0.001486,               0.001486,               0.001486
                     89,                0.99162,                0.62864,                 1.2593,                0.95715,                0.90858,                0.95189,                0.62955,                 1.2096,                0.53954,                 1.5027,               0.001387,               0.001387,               0.001387
